Código,Descrição,Cadastro,Pis Compra,Cofins Compra,Pis Venda,Cofins Venda,Carga Trib Nacional,Carga Trib Estadual,ICMS: Tributação,ICMS: Al. ICMS Int,ICMS: Cálculo ICMS,ICMS: Descreição Cálculo ICMS,ICMS: Pauta Fiscal,CSOSN: Origem Merc,CSOSN: Trib/Isento,CSOSN: Subst. Trib,CST ICMS Não Trib/Isento: Pessoa Física,CST ICMS Não Trib/Isento: Pessoa Jurídica,IPI: CST IPI Entr,IPI: CST IPI Saída,IPI: Tipo Item,IPI: Gên. Item,IPI: Combustível,IPI: Código ANP,IPI: Cód. WFiscal,IPI: Clas. IPI(NCM),IPI: Cód. Selo,IPI: Classe Enq,IPI: Cód. Reduz,PIS/COFINS: CST PIS Entr,PIS/COFINS: CST PIS Saída,PIS/COFINS: CST Cofins Entr,PIS/COFINS: CST Cofins Saída
000338,PAPEL DIPLOMATA 180G TAM. A4 C/50 FLS FILIPAPER,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","9,15 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,48,,,000004938,48025899,,,,99,99,99,99
000339,CARTUCHO P/ IMPRESSORA HP 22 C9352 COLORIDO HP,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000340,CARTUCHO P/ IMPRESSORA HP 22 C9352 ECOLOGIC,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,000004007,84439933,,,,,99,,99
000341,PAPEL VERGE 180G TAM. A4 C/50 FLS AZUL OFF PAPER,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","9,15 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,48,,,000005089,48025810,,,,99,99,99,99
000342,CARTUCHO P/ IMPRESSORA HP 25 C6625 COLOR HP,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000343,CARTUCHO P/ IMPRESSORA HP 27 C8727A PRETO ECOLOGIC,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000344,CARTUCHO P/ IMPRESSORA HP 27 C8727A PRETO HP,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000345,PAPEL VERGE 180G TAM. A4 C/50 FLS SALMAO OFF PAPER,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","9,15 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,48,,,000004774,48025810,,,,99,99,99,99
000346,CARTUCHO P/ IMPRESSORA HP 28 C8728 COLOR HP,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000347,CARTUCHO P/ IMPRESSORA HP 28 C8728A COLOR ECOLOGIC,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000348,PAPEL VERGE 180G TAM. A4 C/50 FLS VERDE OFF PAPER,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","9,15 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,48,,,000005091,48025810,,,,99,99,99,99
000349,CARTUCHO P/ IMPRESSORA HP 40 51640A PRETO HP,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000350,CARTUCHO P/ IMPRESSORA HP 49 51649 PRETO HP,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000351,CARTUCHO P/ IMPRESSORA HP 49 C8799A COLOR ECOLOGIC,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000352,CARTUCHO P/ IMPRESSORA HP 56 C6656A PRETO ECOLOGIC,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000353,CADERNO BROCHURAO S/P C. FLEX 60 FLS FORONI,29/05/2017,"0,00 %","0,00 %","0,00 %","0,00 %","8,20 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,48,,,000003205,48202000,,,,99,99,99,99
000354,CARTUCHO P/ IMPRESSORA HP 57 C6657 COLOR ECOLOGIC,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000355,FITA ADESIVA CREPE 19MMX10M EUROCEL,30/05/2017,"0,00 %","0,00 %","0,00 %","0,00 %","12,96 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,,,03,53,00,48,,,000003554,48114110,,,,99,99,99,99
000356,"PASTA CATALOGO C/30 ENVELOPES 0,06 ACP",10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","22,54 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,42,,,,42021210,,,,99,99,99,99
000357,CARTUCHO P/ IMPRESSORA HP 60 CC640WL PRETO HP,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000358,CARTUCHO P/ IMPRESSORA HP 60 CC643WL COLOR HP,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000359,CARTUCHO P/ IMPRESSORA HP 649 C51649A COLOR ECOLOG,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000360,CARTUCHO P/ IMPRESSORA HP 675 CN690 PRETO HP,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000361,CARTUCHO P/ IMPRESSORA HP 675 CN691 COLOR HP,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000362,CARTUCHO P/ IMPRESSORA HP 74 CB335WL PRETO ECOLOGI,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000363,CARTUCHO P/ IMPRESSORA HP 74 CB335WL PRETO HP,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000364,CARTUCHO P/ IMPRESSORA HP 75 CB337WB COLORIDO ECOL,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000365,CARTUCHO P/ IMPRESSORA HP 86 C9386A CIANO HP,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000366,PAPEL ALMACO PAUTADO MAXIMA,31/05/2017,"0,00 %","0,00 %","0,00 %","0,00 %","9,63 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,48,,,000003331,48101390,,,,99,99,99,99
000367,CARTUCHO P/ IMPRESSORA HP 901 CC653A PRETO HP,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000368,CARTUCHO P/ IMPRESSORA HP 901 CC656A COLORIDO HP,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000369,CARTUCHO P/ IMPRESSORA HP 91 C9391A CIANO ECOLOGIC,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000370,CARTUCHO P/ IMPRESSORA HP 92 C9392A MAGENTA ECOLOG,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000371,CARTUCHO P/ IMPRESSORA HP 920 XL CD973AL MAGENTA H,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000372,CARTUCHO P/ IMPRESSORA HP 93 C9393A YELLOW ECOLOGI,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000373,CARTUCHO P/ IMPRESSORA HP 96 C8767WL PRETO HP,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000374,PASTA CARTOLINA A/E CROTONS,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","11,88 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,48,,,,48209000,,,,99,99,99,99
000375,CARTUCHO P/ IMPRESSORA HP 96 C9396A PRETO ECOLOGIC,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000376,CARTUCHO P/ IMPRESSORA HP 97 C9363WL COLOR HP,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,96 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,84,,,,84439923,,,,,99,,99
000377,PASTA CARTOLINA A/E VD COLORPRES AMOART,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","11,88 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,48,,,000004742,48209000,,,,99,99,99,99
000378,PASTA CARTOLINA A/E PR COLORPRES AMOART,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","11,88 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,48,,,000004741,48209000,,,,99,99,99,99
000379,PASTA CARTOLINA A/E VM COLORPRES AMOART,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","11,88 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,48,,,000004743,48209000,,,,99,99,99,99
000380,COLA EM BASTAO 10 GRS. RADEX,02/06/2017,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,35,,,000003216,35061090,,,,99,99,99,99
000381,CLIPS 2/0 C/500 GRS. ACC,02/06/2017,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,83,,,000005246,83059000,,,,99,99,99,99
000382,CLIPS 3/0 C/500 GRS. ACC,02/06/2017,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,83,,,000003225,83059000,,,,99,99,99,99
000383,PRANCHETA ACRILICA COLORIDA 30 CM ACRIMET,05/06/2017,"0,00 %","0,00 %","0,00 %","0,00 %","17,24 %","7,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,103,500,,,03,53,00,39,,,000004898,39269090,,,,99,99,99,99
000384,PRANCHETA EUCATEX BRANCA ACRIMET,05/06/2017,"0,00 %","0,00 %","0,00 %","0,00 %","7,88 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,103,500,,,03,53,00,44,,,,44219000,,,,99,99,99,99
000385,PASTA CARTOLINA C/G AM POLYCART,14/06/2017,"0,00 %","0,00 %","0,00 %","0,00 %","21,24 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,48,,,000003245,48209000,,,,99,99,99,99
000386,PASTA CARTOLINA C/G PT POLYCART,14/06/2017,"0,00 %","0,00 %","0,00 %","0,00 %","12,11 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,48,,,000005743,48209000,,,,99,99,99,99
000387,CD-R 700 MB MULTILASER,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","7,88 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,85,,,000004272,85234190,,,,99,99,99,99
000388,PASTA CARTOLINA C/G VM POLYCART,14/06/2017,"0,00 %","0,00 %","0,00 %","0,00 %","21,24 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,48,,,000003249,48209000,,,,99,99,99,99
000389,CAIXA ARQ. OFICIO POLIONDA AZ POLYCART,14/06/2017,"0,00 %","0,00 %","0,00 %","0,00 %","21,24 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,39,,,000004319,48191000,,,,99,99,99,99
000390,CD-RW 700 MB MULTILASER,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","7,88 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,85,,,000005425,85234110,,,,99,99,99,99
000391,CHAVEIRO C/ ETIQUETA IDENT.  ACRIMET,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,83,,,000004906,83040000,,,,,99,,99
000392,BOBINA FILME PVC 28X30MT LUSAFILM,16/06/2017,"0,00 %","0,00 %","0,00 %","0,00 %","8,11 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,39,,,000004663,39232190,,,,99,99,99,99
000393,CLIPS 2/0 C/100 UNID. ORDA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,83,,,000003092,83059000,,,,,99,,99
000394,CANETA HIDROCOR C/12 CIS,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,45 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,96,,,000005060,96082000,,,,99,99,99,99
000395,PINCEL ATOMICO P. REDONDA MR COMPACTOR,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","18,15 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,96,,,000003844,96082000,,,,99,99,99,99
000396,CLIPS 2/0 C/500 GRS. ORDA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,83,,,000004186,83059000,,,,,99,,99
000397,CANETA HIDROGRAFICA PRETA COMPACTOR,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","18,15 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,96,,,000003841,96082000,,,,99,99,99,99
000398,CLIPS 3/0 C/50 UNID. ORDA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,83,,,000003093,83059000,,,,,99,,99
000399,CANETA HIDROGRAFICA VERMELHA COMPACTOR,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","18,15 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,96,,,,96082000,,,,99,99,99,99
000400,"ETIQUETA ADESIVA FORM. 89X23,4X3C C/18.000 POLIFIX",19/06/2017,"0,00 %","0,00 %","0,00 %","0,00 %","13,45 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,,,03,53,00,48,,,000005758,48219000,,,,99,99,99,99
000401,CLIPS 3/0 C/500 GRS. ORDA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,83,,,,83059000,,,,,99,,99
000402,COLA P/ EVA APLICOLA,21/06/2017,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,35,,,000003268,35069190,,,,99,99,99,99
000403,CLIPS 4/0 C/50 UNID. ORDA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,83,,,000003094,83059000,,,,,99,,99
000404,PERFURADOR 2 FUROS P/20 FLS PROCALC,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,90 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,48,,,,84729040,,,,99,99,99,99
000405,CLIPS 4/0 C/500 GRS. ORDA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,83,,,000004187,83059000,,,,,99,,99
000406,GIZ DE CERA GRANDE C/ 12 CORES MAGIX,23/06/2017,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,96,,,000004850,96099000,,,,99,99,99,99
000407,GRAMPEADOR MINI CLASSE,23/06/2017,"0,00 %","0,00 %","0,00 %","0,00 %","11,22 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,,,03,53,00,82,,,,82142000,,,,99,99,99,99
000408,CLIPS 3 C/ 100 UND. WIRE,26/06/2017,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,83,,,000003279,83059000,,,,99,99,99,99
000409,CLIPS 6/0 C/50 UNID. ORDA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,83,,,,83059000,,,,,99,,99
000410,CLIPS No 0 C/ 500GRS. WIRE,26/06/2017,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,83,,,000003281,83059000,,,,99,99,99,99
000411,"ETIQUETA ADESIVA 16,93 X 147,64 POLIFIX",26/06/2017,"0,00 %","0,00 %","0,00 %","0,00 %","8,20 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,48,,,000003289,48219000,,,,99,99,99,99
000412,CLIPS 6/0 C/500 GRS. ORDA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,83,,,000004188,83059000,,,,,99,,99
000413,GRAMPO P/ GRAMPEADOR 9/14 / - 23/14  C/1.000 BRW,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","16,02 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,83,,,,83052000,,,,99,99,99,99
000414,CLIPS 8/0 C/25 UNID. ORDA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,83,,,,83059000,,,,,99,,99
000415,ENVELOPE KRAFT 240X340 MM CELUCAT,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","9,54 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,48,,,000005016,48171000,,,,99,99,99,99
000416,BOLA ISOPOR 25MM,03/07/2017,"0,00 %","0,00 %","0,00 %","0,00 %","17,24 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,39,,,000004518,39231090,,,,99,99,99,99
000417,CLIPS 8/0 C/500 GRS. ORDA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,83,,,,83059000,,,,,99,,99
000418,RELOGIO MASTER 30CM ACETINADO RELOBRAZ,03/07/2017,"0,00 %","0,00 %","0,00 %","0,00 %","20,87 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,91,,,000004261,91052100,,,,99,99,99,99
000419,CLIPS 0 C/100 UNID. ORDA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,83,,,,83059000,,,,,99,,99
000420,CORRETIVO LIQUIDO C/18 ML MERCUR,03/07/2017,"0,00 %","0,00 %","0,00 %","0,00 %","6,92 %","0,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,38,,,000004763,38249979,,,,99,99,99,99
000421,CLIPS 0 C/500 GRS. ORDA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,83,,,000004185,83059000,,,,,99,,99
000422,CLIPS 1 C/100 UNID. ORDA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,83,,,000003626,83059000,,,,,99,,99
000423,FITA METALIZADA CORES PROGRESSO,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","7,88 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,39,,,000005644,58063200,,,,99,99,99,99
000424,PANO DE COPA ESTAMPADO ESTILOTEX,19/01/2017,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,63,,,000003930,63071000,,,,99,99,99,99
000425,CLIPS 1 C/500 GRS. ORDA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,83,,,,83059000,,,,,99,,99
000426,NOVELO DE LA CORES PINGOUIN,04/07/2017,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,55,,,000004532,55111000,,,,99,99,99,99
000427,CLIPS 2 C/100 UNID. ORDA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,83,,,000004852,83059000,,,,,99,,99
000428,CLIPS 3 C/100 UNID. ORDA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,83,,,000003625,83059000,,,,,99,,99
000429,CLIPS 4 C/100 UNID. ORDA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,83,,,,83059000,,,,,99,,99
000430,TELA DE JUTA CRUA CASTANHA,04/07/2017,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,53,,,000003942,53101010,,,,99,99,99,99
000431,TECIDO TRICOLINE ESTAMPADO DISPARADA,04/07/2017,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,52,,,000003324,52085200,,,,99,99,99,99
000432,TECIDO CHITAO ESTAMPADO DISPARADA,04/07/2017,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,52,,,000003937,54075400,,,,99,99,99,99
000433,STENCIL P/ MIMEOGRAFO MAGISTERIO,04/07/2017,"0,00 %","0,00 %","0,00 %","0,00 %","12,96 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,48,,,000003328,48162000,,,,99,99,99,99
000434,BRINCANDO DE COLORIR I KIT C 10 UND TODOLIVRO,04/07/2017,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,49,,,000003330,49019900,,,,99,99,99,99
000435,LINHA DE NYLON DOURADO,04/07/2017,"0,00 %","0,00 %","0,00 %","0,00 %","13,45 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,56,,,,56075011,,,,99,99,99,99
000436,PEN DRIVE 4GB MULTILASER,04/07/2017,"0,00 %","0,00 %","0,00 %","0,00 %","17,24 %","18,00 %",Tributado,,000003,Cálculo Tributados,,0,102,500,,,03,53,00,85,,,000003334,85235190,,,,99,99,99,99
